name,race,gender,source
Aphatea,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Aphemis,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Aphena,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Aphetera,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Aphia,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Aphiana,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Aphicla,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Aphina,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Aphithea,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Aphomeda,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Aphonia,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Aphosyna,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Aphrodite,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Artatea,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Artemis,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Artena,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Artetera,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Artia,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Artiana,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Articla,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Artina,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Artithea,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Artomeda,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Artonia,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Artosyna,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Artrodite,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Athatea,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Athemis,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Athena,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Athetera,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Athia,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Athiana,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Athicla,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Athina,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Athithea,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Athomeda,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Athonia,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Athosyna,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Athrodite,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Dematea,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Dememis,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Demena,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Demetera,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Demia,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Demiana,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Demicla,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Demina,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Demithea,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Demomeda,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Demonia,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Demosyna,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Demrodite,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Hecatea,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Hecemis,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Hecena,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Hecetera,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Hecia,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Heciana,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Hecicla,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
Hecina,Argonian,Female,The Elder Scrolls: Chapter II - Daggerfall
