name,race,gender,source
Beelei,Argonian,Female,The Elder Scrolls IV: Oblivion
Beewos,Argonian,Female,The Elder Scrolls IV: Oblivion
Bejeen,Argonian,Female,The Elder Scrolls IV: Oblivion
Deetsan,Argonian,Female,The Elder Scrolls IV: Oblivion
Druja,Argonian,Female,The Elder Scrolls IV: Oblivion
Marz,Argonian,Female,The Elder Scrolls IV: Oblivion
Numeen,Argonian,Female,The Elder Scrolls IV: Oblivion
Ocheeva,Argonian,Female,The Elder Scrolls IV: Oblivion
Pasha,Argonian,Female,The Elder Scrolls IV: Oblivion
Rana,Argonian,Female,The Elder Scrolls IV: Oblivion
Shaleez,Argonian,Female,The Elder Scrolls IV: Oblivion
Skaleel,Argonian,Female,The Elder Scrolls IV: Oblivion
Witseidutsei,Argonian,Female,The Elder Scrolls IV: Oblivion
Bur-Meema,Argonian,Female,The Elder Scrolls IV: Oblivion
Dar-Ma,Argonian,Female,The Elder Scrolls IV: Oblivion
Hal-Liurz,Argonian,Female,The Elder Scrolls IV: Oblivion
Kud-Ei,Argonian,Female,The Elder Scrolls IV: Oblivion
Mach-Na,Argonian,Female,The Elder Scrolls IV: Oblivion
Seed-Neeus,Argonian,Female,The Elder Scrolls IV: Oblivion
Sheer Meedish,Argonian,Female,The Elder Scrolls IV: Oblivion
Tar-Meena,Argonian,Female,The Elder Scrolls IV: Oblivion
Weedum-Ja,Argonian,Female,The Elder Scrolls IV: Oblivion
City-Swimmer,Argonian,Female,The Elder Scrolls IV: Oblivion
On-Staya Sundew,Argonian,Female,The Elder Scrolls IV: Oblivion
Quill-Weave,Argonian,Female,The Elder Scrolls IV: Oblivion
Runs-in-Circles,Argonian,Female,The Elder Scrolls IV: Oblivion
Tall-Trees-Falling,Argonian,Female,The Elder Scrolls IV: Oblivion
Wide-Eye,Argonian,Female,The Elder Scrolls IV: Oblivion
