name,race,gender,source
Ja'dasha,Khajiit,Female,The Elder Scrolls Online: The Official Survival Guide to Tamriel
Kishra-do,Khajiit,Female,Kyne's Challenge: A Hunter's Companion
Lesspa,Khajiit,Female,The Infernal City
M'Kai,Khajiit,Female,The Infernal City
Sharwa,Khajiit,Female,The Infernal City
Tsani,Khajiit,Female,The Infernal City
Zara,Khajiit,Female,The Improved Emperor's Guide to Tamriel
Ahn-eks'kha,Khajiit,Female,The Elder Scrolls Online
Ahnissi,Khajiit,Female,The Elder Scrolls III: Morrowind
Aishah,Khajiit,Female,The Elder Scrolls Online
Anahbi,Khajiit,Female,The Elder Scrolls Online
Anequina,Khajiit,Female,The Elder Scrolls Online
Anurassa,Khajiit,Female,The Elder Scrolls V: Skyrim
Bezumi,Khajiit,Female,The Elder Scrolls Online
Bhisha,Khajiit,Female,The Elder Scrolls V: Skyrim
Eshita,Khajiit,Female,The Elder Scrolls Online
Hasaama,Khajiit,Female,The Elder Scrolls III: Morrowind
Jazadi,Khajiit,Female,The Elder Scrolls Online
Kish'na,Khajiit,Female,The Elder Scrolls Online
Mizaba-ko,Khajiit,Female,The Elder Scrolls Online
Mizzi,Khajiit,Female,The Elder Scrolls Online
M'Sharra,Khajiit,Female,The Elder Scrolls V: Skyrim
Munilli,Khajiit,Female,The Elder Scrolls Online
Naamah,Khajiit,Female,The Elder Scrolls Online
Rathuni-la,Khajiit,Female,The Elder Scrolls Online
Shizahi-jo,Khajiit,Female,The Elder Scrolls Online
Sirahai-daro,Khajiit,Female,Elder Scrolls Online - Interactive Map of Tamriel
Tazzie,Khajiit,Female,The Elder Scrolls Online
Thazahrr-ra,Khajiit,Female,The Elder Scrolls Online
Vazshara,Khajiit,Female,The Elder Scrolls Online
Yenamu,Khajiit,Female,The Elder Scrolls Online
Zabia-ko,Khajiit,Female,The Elder Scrolls Online
Dawnwhisker,Khajiit,Female,The Elder Scrolls Online
Goldfang,Khajiit,Female,The Elder Scrolls Online
Sharp-Tongue,Khajiit,Female,The Elder Scrolls Online
