name,race,gender,source
Abhuki,Khajiit,Female,The Elder Scrolls IV: Oblivion
Ahdarji,Khajiit,Female,The Elder Scrolls IV: Oblivion
Ahjazda,Khajiit,Female,The Elder Scrolls IV: Oblivion
Ashni,Khajiit,Female,The Elder Scrolls IV: Oblivion
Atahba,Khajiit,Female,The Elder Scrolls IV: Oblivion
Atrabhi,Khajiit,Female,The Elder Scrolls IV: Oblivion
Ayisha,Khajiit,Female,The Elder Scrolls IV: Oblivion
Dro'Nahrahe,Khajiit,Female,The Elder Scrolls IV: Oblivion
Kishashi,Khajiit,Female,The Elder Scrolls IV: Oblivion
Nahsi,Khajiit,Female,The Elder Scrolls IV: Oblivion
S'fara,Khajiit,Female,The Elder Scrolls IV: Oblivion
S'jirra,Khajiit,Female,The Elder Scrolls IV: Oblivion
S'kasha,Khajiit,Female,The Elder Scrolls IV: Oblivion
S'Krivva,Khajiit,Female,The Elder Scrolls IV: Oblivion
S'mirra,Khajiit,Female,The Elder Scrolls IV: Oblivion
S'thasa,Khajiit,Female,The Elder Scrolls IV: Oblivion
Shamada,Khajiit,Female,The Elder Scrolls IV: Oblivion
Shomara,Khajiit,Female,The Elder Scrolls IV: Oblivion
Shuravi,Khajiit,Female,The Elder Scrolls IV: Oblivion
Talasma,Khajiit,Female,The Elder Scrolls IV: Oblivion
Tsalajma,Khajiit,Female,The Elder Scrolls IV: Oblivion
Tsarrina,Khajiit,Female,The Elder Scrolls IV: Oblivion
Tsavi,Khajiit,Female,The Elder Scrolls IV: Oblivion
Tsramla,Khajiit,Female,The Elder Scrolls IV: Oblivion
Tsrava,Khajiit,Female,The Elder Scrolls IV: Oblivion
Vajhira,Khajiit,Female,The Elder Scrolls IV: Oblivion
Yushi,Khajiit,Female,The Elder Scrolls IV: Oblivion
Zabhila,Khajiit,Female,The Elder Scrolls IV: Oblivion
Zahrasha,Khajiit,Female,The Elder Scrolls IV: Oblivion
