name,race,gender,source
Agazu,Orc,Female,The Elder Scrolls: Castles
Aglash,Orc,Female,The Elder Scrolls: Castles
Agli,Orc,Female,The Elder Scrolls: Castles
Agral,Orc,Female,The Elder Scrolls: Castles
Agrash,Orc,Female,The Elder Scrolls: Castles
Agrulla,Orc,Female,The Elder Scrolls: Castles
Akarah,Orc,Female,The Elder Scrolls: Castles
Akash,Orc,Female,The Elder Scrolls: Castles
Aklash,Orc,Female,The Elder Scrolls: Castles
Alga,Orc,Female,The Elder Scrolls: Castles
Alzula,Orc,Female,The Elder Scrolls: Castles
Anbarah,Orc,Female,The Elder Scrolls: Castles
Arakh,Orc,Female,The Elder Scrolls: Castles
Ashaka,Orc,Female,The Elder Scrolls: Castles
Atoga,Orc,Female,The Elder Scrolls: Castles
Atub,Orc,Female,The Elder Scrolls: Castles
Aza,Orc,Female,The Elder Scrolls: Castles
Badush,Orc,Female,The Elder Scrolls: Castles
Bagrak,Orc,Female,The Elder Scrolls: Castles
Bagula,Orc,Female,The Elder Scrolls: Castles
Barush,Orc,Female,The Elder Scrolls: Castles
Barza,Orc,Female,The Elder Scrolls: Castles
Batara,Orc,Female,The Elder Scrolls: Castles
Batasha,Orc,Female,The Elder Scrolls: Castles
Batum,Orc,Female,The Elder Scrolls: Castles
Bolar,Orc,Female,The Elder Scrolls: Castles
Borbuga,Orc,Female,The Elder Scrolls: Castles
Borghak,Orc,Female,The Elder Scrolls: Castles
Boroth,Orc,Female,The Elder Scrolls: Castles
Borub,Orc,Female,The Elder Scrolls: Castles
Bulag,Orc,Female,The Elder Scrolls: Castles
Burgul,Orc,Female,The Elder Scrolls: Castles
Dagarha,Orc,Female,The Elder Scrolls: Castles
Druga,Orc,Female,The Elder Scrolls: Castles
Dulug,Orc,Female,The Elder Scrolls: Castles
Dumula,Orc,Female,The Elder Scrolls: Castles
Durga,Orc,Female,The Elder Scrolls: Castles
Erisa,Orc,Female,The Elder Scrolls: Castles
Garuk,Orc,Female,The Elder Scrolls: Castles
Gharakul,Orc,Female,The Elder Scrolls: Castles
Ghoral,Orc,Female,The Elder Scrolls: Castles
Glatha,Orc,Female,The Elder Scrolls: Castles
Glorag,Orc,Female,The Elder Scrolls: Castles
Glorash,Orc,Female,The Elder Scrolls: Castles
Golga,Orc,Female,The Elder Scrolls: Castles
Goorga,Orc,Female,The Elder Scrolls: Castles
Grasha,Orc,Female,The Elder Scrolls: Castles
Grubesha,Orc,Female,The Elder Scrolls: Castles
Gula,Orc,Female,The Elder Scrolls: Castles
Gulara,Orc,Female,The Elder Scrolls: Castles
Gulgula,Orc,Female,The Elder Scrolls: Castles
Hagra,Orc,Female,The Elder Scrolls: Castles
Harza,Orc,Female,The Elder Scrolls: Castles
Kelagi,Orc,Female,The Elder Scrolls: Castles
Kharza,Orc,Female,The Elder Scrolls: Castles
Kora,Orc,Female,The Elder Scrolls: Castles
Korgha,Orc,Female,The Elder Scrolls: Castles
Kroma,Orc,Female,The Elder Scrolls: Castles
Lagra,Orc,Female,The Elder Scrolls: Castles
Lahzga,Orc,Female,The Elder Scrolls: Castles
Lokra,Orc,Female,The Elder Scrolls: Castles
Lorak,Orc,Female,The Elder Scrolls: Castles
Luga,Orc,Female,The Elder Scrolls: Castles
Lugash,Orc,Female,The Elder Scrolls: Castles
Magol,Orc,Female,The Elder Scrolls: Castles
Magula,Orc,Female,The Elder Scrolls: Castles
Maraka,Orc,Female,The Elder Scrolls: Castles
Margash,Orc,Female,The Elder Scrolls: Castles
Marutha,Orc,Female,The Elder Scrolls: Castles
Mazog,Orc,Female,The Elder Scrolls: Castles
Mazuka,Orc,Female,The Elder Scrolls: Castles
Megruk,Orc,Female,The Elder Scrolls: Castles
Morga,Orc,Female,The Elder Scrolls: Castles
Morob,Orc,Female,The Elder Scrolls: Castles
Mugaga,Orc,Female,The Elder Scrolls: Castles
Mula,Orc,Female,The Elder Scrolls: Castles
Murzog,Orc,Female,The Elder Scrolls: Castles
Nagra,Orc,Female,The Elder Scrolls: Castles
Narzog,Orc,Female,The Elder Scrolls: Castles
Noguza,Orc,Female,The Elder Scrolls: Castles
Nuza,Orc,Female,The Elder Scrolls: Castles
Oorga,Orc,Female,The Elder Scrolls: Castles
Oorsha,Orc,Female,The Elder Scrolls: Castles
Ordasha,Orc,Female,The Elder Scrolls: Castles
Orgotha,Orc,Female,The Elder Scrolls: Castles
Orutha,Orc,Female,The Elder Scrolls: Castles
Rakuga,Orc,Female,The Elder Scrolls: Castles
Razasha,Orc,Female,The Elder Scrolls: Castles
Razbela,Orc,Female,The Elder Scrolls: Castles
Rogba,Orc,Female,The Elder Scrolls: Castles
Rolga,Orc,Female,The Elder Scrolls: Castles
Rulgum,Orc,Female,The Elder Scrolls: Castles
Shagora,Orc,Female,The Elder Scrolls: Castles
Shagra,Orc,Female,The Elder Scrolls: Castles
Shagura,Orc,Female,The Elder Scrolls: Castles
Shakul,Orc,Female,The Elder Scrolls: Castles
Shara,Orc,Female,The Elder Scrolls: Castles
Sharga,Orc,Female,The Elder Scrolls: Castles
Sharuk,Orc,Female,The Elder Scrolls: Castles
Shebakh,Orc,Female,The Elder Scrolls: Castles
Shel,Orc,Female,The Elder Scrolls: Castles
Shezul,Orc,Female,The Elder Scrolls: Castles
Shuga,Orc,Female,The Elder Scrolls: Castles
Shura,Orc,Female,The Elder Scrolls: Castles
Shuroth,Orc,Female,The Elder Scrolls: Castles
Stroda,Orc,Female,The Elder Scrolls: Castles
Stuga,Orc,Female,The Elder Scrolls: Castles
Thoga,Orc,Female,The Elder Scrolls: Castles
Thulga,Orc,Female,The Elder Scrolls: Castles
Tugha,Orc,Female,The Elder Scrolls: Castles
Ugduk,Orc,Female,The Elder Scrolls: Castles
Ugor,Orc,Female,The Elder Scrolls: Castles
Ugrash,Orc,Female,The Elder Scrolls: Castles
Ugrush,Orc,Female,The Elder Scrolls: Castles
Ulag,Orc,Female,The Elder Scrolls: Castles
Ulsha,Orc,Female,The Elder Scrolls: Castles
Uluga,Orc,Female,The Elder Scrolls: Castles
Uluk,Orc,Female,The Elder Scrolls: Castles
Urul,Orc,Female,The Elder Scrolls: Castles
Urzoga,Orc,Female,The Elder Scrolls: Castles
Urzula,Orc,Female,The Elder Scrolls: Castles
Ushuta,Orc,Female,The Elder Scrolls: Castles
Vusha,Orc,Female,The Elder Scrolls: Castles
Yashurah,Orc,Female,The Elder Scrolls: Castles
Yatava,Orc,Female,The Elder Scrolls: Castles
Yazara,Orc,Female,The Elder Scrolls: Castles
Yazoga,Orc,Female,The Elder Scrolls: Castles
Zagula,Orc,Female,The Elder Scrolls: Castles
Zubesha,Orc,Female,The Elder Scrolls: Castles
