name,race,gender,source
Mazgar,Orc,Female,The Infernal City
Urza,Orc,Female,The Elder Scrolls Online: The Official Survival Guide to Tamriel
Bagrar,Orc,Female,The Elder Scrolls Online
Bolga,Orc,Female,The Elder Scrolls Online
Brigeera,Orc,Female,The Elder Scrolls Online
Garshag,Orc,Female,The Elder Scrolls Online
Lashki,Orc,Female,The Elder Scrolls Online
Luktuv,Orc,Female,The Elder Scrolls IV: Oblivion
Mortuga,Orc,Female,The Elder Scrolls Online
Noroga,Orc,Female,The Elder Scrolls Online
Nuzava,Orc,Female,The Elder Scrolls Online
Razotha,Orc,Female,The Elder Scrolls Online
Voltha,Orc,Female,The Elder Scrolls III: Morrowind
Yakhtu,Orc,Female,The Elder Scrolls V: Skyrim
Zeg,Orc,Female,The Elder Scrolls Online
