name,race,gender,source
Agrob,Orc,Female,The Elder Scrolls III: Morrowind
Badbog,Orc,Female,The Elder Scrolls III: Morrowind
Bashuk,Orc,Female,The Elder Scrolls III: Morrowind
Bogdub,Orc,Female,The Elder Scrolls III: Morrowind
Bugdurash,Orc,Female,The Elder Scrolls III: Morrowind
Bula,Orc,Female,The Elder Scrolls III: Morrowind
Bulak,Orc,Female,The Elder Scrolls III: Morrowind
Bulfim,Orc,Female,The Elder Scrolls III: Morrowind
Bum,Orc,Female,The Elder Scrolls III: Morrowind
Burub,Orc,Female,The Elder Scrolls III: Morrowind
Burzob,Orc,Female,The Elder Scrolls III: Morrowind
Dura,Orc,Female,The Elder Scrolls III: Morrowind
Durgat,Orc,Female,The Elder Scrolls III: Morrowind
Durz,Orc,Female,The Elder Scrolls III: Morrowind
Gashnakh,Orc,Female,The Elder Scrolls III: Morrowind
Ghob,Orc,Female,The Elder Scrolls III: Morrowind
Glasha,Orc,Female,The Elder Scrolls III: Morrowind
Glob,Orc,Female,The Elder Scrolls III: Morrowind
Gluronk,Orc,Female,The Elder Scrolls III: Morrowind
Gonk,Orc,Female,The Elder Scrolls III: Morrowind
Grat,Orc,Female,The Elder Scrolls III: Morrowind
Grazob,Orc,Female,The Elder Scrolls III: Morrowind
Gulfim,Orc,Female,The Elder Scrolls III: Morrowind
Kharzug,Orc,Female,The Elder Scrolls III: Morrowind
Lagakh,Orc,Female,The Elder Scrolls III: Morrowind
Lambug,Orc,Female,The Elder Scrolls III: Morrowind
Lazgar,Orc,Female,The Elder Scrolls III: Morrowind
Mogak,Orc,Female,The Elder Scrolls III: Morrowind
Morn,Orc,Female,The Elder Scrolls III: Morrowind
Murob,Orc,Female,The Elder Scrolls III: Morrowind
Murzush,Orc,Female,The Elder Scrolls III: Morrowind
Nargol,Orc,Female,The Elder Scrolls III: Morrowind
Orbul,Orc,Female,The Elder Scrolls III: Morrowind
Ragash,Orc,Female,The Elder Scrolls III: Morrowind
Rolfish,Orc,Female,The Elder Scrolls III: Morrowind
Rulfim,Orc,Female,The Elder Scrolls III: Morrowind
Shadbak,Orc,Female,The Elder Scrolls III: Morrowind
Shagar,Orc,Female,The Elder Scrolls III: Morrowind
Shagdub,Orc,Female,The Elder Scrolls III: Morrowind
Sharn,Orc,Female,The Elder Scrolls III: Morrowind
Sharog,Orc,Female,The Elder Scrolls III: Morrowind
Shelur,Orc,Female,The Elder Scrolls III: Morrowind
Sloomalah,Orc,Female,The Elder Scrolls III: Morrowind
Uloth,Orc,Female,The Elder Scrolls III: Morrowind
Ulumpha,Orc,Female,The Elder Scrolls III: Morrowind
Urzoth,Orc,Female,The Elder Scrolls III: Morrowind
Urzul,Orc,Female,The Elder Scrolls III: Morrowind
Ushug,Orc,Female,The Elder Scrolls III: Morrowind
Yazgash,Orc,Female,The Elder Scrolls III: Morrowind
