name,race,gender,source
Arob,Orc,Female,The Elder Scrolls V: Skyrim
Atub,Orc,Female,The Elder Scrolls V: Skyrim
Bagrak,Orc,Female,The Elder Scrolls V: Skyrim
Batum,Orc,Female,The Elder Scrolls V: Skyrim
Bolar,Orc,Female,The Elder Scrolls V: Skyrim
Bor,Orc,Female,The Elder Scrolls V: Skyrim
Borgakh,Orc,Female,The Elder Scrolls V: Skyrim
Dulug,Orc,Female,The Elder Scrolls V: Skyrim
Garakh,Orc,Female,The Elder Scrolls V: Skyrim
Ghak,Orc,Female,The Elder Scrolls V: Skyrim
Gharol,Orc,Female,The Elder Scrolls V: Skyrim
Ghorza,Orc,Female,The Elder Scrolls V: Skyrim
Gul,Orc,Female,The Elder Scrolls V: Skyrim
Lash,Orc,Female,The Elder Scrolls V: Skyrim
Lushak,Orc,Female,The Elder Scrolls V: Skyrim
Mogdurz,Orc,Female,The Elder Scrolls V: Skyrim
Murbul,Orc,Female,The Elder Scrolls V: Skyrim
Sharamph,Orc,Female,The Elder Scrolls V: Skyrim
Shel,Orc,Female,The Elder Scrolls V: Skyrim
Shuftharz,Orc,Female,The Elder Scrolls V: Skyrim
Ugor,Orc,Female,The Elder Scrolls V: Skyrim
Urog,Orc,Female,The Elder Scrolls V: Skyrim
Urzoga,Orc,Female,The Elder Scrolls V: Skyrim
Yag,Orc,Female,The Elder Scrolls V: Skyrim
Yakhtu,Orc,Female,The Elder Scrolls V: Skyrim
Yatul,Orc,Female,The Elder Scrolls V: Skyrim
