name,race,gender,source
Deekus,Argonian,Male,The Elder Scrolls V: Skyrim
Derkeethus,Argonian,Male,The Elder Scrolls V: Skyrim
Madesi,Argonian,Male,The Elder Scrolls V: Skyrim
Neetrenaza,Argonian,Male,The Elder Scrolls V: Skyrim
Usha,Argonian,Male,The Elder Scrolls V: Skyrim
Veezara,Argonian,Male,The Elder Scrolls V: Skyrim
Beem-Ja,Argonian,Male,The Elder Scrolls V: Skyrim
Brand-Shei,Argonian,Male,The Elder Scrolls V: Skyrim
Gajul-Lei,Argonian,Male,The Elder Scrolls V: Skyrim
Gulum-Ei,Argonian,Male,The Elder Scrolls V: Skyrim
Ilas-Tei,Argonian,Male,The Elder Scrolls V: Skyrim
Jaree-Ra,Argonian,Male,The Elder Scrolls V: Skyrim
Talen-Jei,Argonian,Male,The Elder Scrolls V: Skyrim
Teeba-Ei,Argonian,Male,The Elder Scrolls V: Skyrim
Deep-In-His-Cups,Argonian,Male,The Elder Scrolls V: Skyrim
Pale-Eyes,Argonian,Male,The Elder Scrolls V: Skyrim
Scouts-Many-Marshes,Argonian,Male,The Elder Scrolls V: Skyrim
Stands-In-Shallows,Argonian,Male,The Elder Scrolls V: Skyrim
Swims-In-Deep-Water,Argonian,Male,The Elder Scrolls V: Skyrim
Watches-The-Roots,Argonian,Male,The Elder Scrolls V: Skyrim
