name,race,gender,source
Adamir,Bosmer,Male,The Elder Scrolls: Castles
Aeradan,Bosmer,Male,The Elder Scrolls: Castles
Aerethor,Bosmer,Male,The Elder Scrolls: Castles
Aering,Bosmer,Male,The Elder Scrolls: Castles
Agarfin,Bosmer,Male,The Elder Scrolls: Castles
Alander,Bosmer,Male,The Elder Scrolls: Castles
Andoriel,Bosmer,Male,The Elder Scrolls: Castles
Andrin,Bosmer,Male,The Elder Scrolls: Castles
Anglir,Bosmer,Male,The Elder Scrolls: Castles
Anglorn,Bosmer,Male,The Elder Scrolls: Castles
Angoth,Bosmer,Male,The Elder Scrolls: Castles
Anthelion,Bosmer,Male,The Elder Scrolls: Castles
Aragoth,Bosmer,Male,The Elder Scrolls: Castles
Arenion,Bosmer,Male,The Elder Scrolls: Castles
Arganar,Bosmer,Male,The Elder Scrolls: Castles
Arilos,Bosmer,Male,The Elder Scrolls: Castles
Arthor,Bosmer,Male,The Elder Scrolls: Castles
Azareth,Bosmer,Male,The Elder Scrolls: Castles
Behelir,Bosmer,Male,The Elder Scrolls: Castles
Belegond,Bosmer,Male,The Elder Scrolls: Castles
Benduin,Bosmer,Male,The Elder Scrolls: Castles
Beragon,Bosmer,Male,The Elder Scrolls: Castles
Berdonion,Bosmer,Male,The Elder Scrolls: Castles
Beregnir,Bosmer,Male,The Elder Scrolls: Castles
Bodring,Bosmer,Male,The Elder Scrolls: Castles
Bolefin,Bosmer,Male,The Elder Scrolls: Castles
Bolin,Bosmer,Male,The Elder Scrolls: Castles
Borogas,Bosmer,Male,The Elder Scrolls: Castles
Breduin,Bosmer,Male,The Elder Scrolls: Castles
Bregail,Bosmer,Male,The Elder Scrolls: Castles
Bregor,Bosmer,Male,The Elder Scrolls: Castles
Brellin,Bosmer,Male,The Elder Scrolls: Castles
Brogomir,Bosmer,Male,The Elder Scrolls: Castles
Caelin,Bosmer,Male,The Elder Scrolls: Castles
Cathras,Bosmer,Male,The Elder Scrolls: Castles
Celan,Bosmer,Male,The Elder Scrolls: Castles
Celeviel,Bosmer,Male,The Elder Scrolls: Castles
Cindor,Bosmer,Male,The Elder Scrolls: Castles
Darahawn,Bosmer,Male,The Elder Scrolls: Castles
Deneth,Bosmer,Male,The Elder Scrolls: Castles
Deregor,Bosmer,Male,The Elder Scrolls: Castles
Diranor,Bosmer,Male,The Elder Scrolls: Castles
Donallir,Bosmer,Male,The Elder Scrolls: Castles
Doradrin,Bosmer,Male,The Elder Scrolls: Castles
Doralon,Bosmer,Male,The Elder Scrolls: Castles
Doranar,Bosmer,Male,The Elder Scrolls: Castles
Dordanion,Bosmer,Male,The Elder Scrolls: Castles
Dorodir,Bosmer,Male,The Elder Scrolls: Castles
Draugluin,Bosmer,Male,The Elder Scrolls: Castles
Drilion,Bosmer,Male,The Elder Scrolls: Castles
Edhelas,Bosmer,Male,The Elder Scrolls: Castles
Edhelfin,Bosmer,Male,The Elder Scrolls: Castles
Edrin,Bosmer,Male,The Elder Scrolls: Castles
Egenor,Bosmer,Male,The Elder Scrolls: Castles
Egilas,Bosmer,Male,The Elder Scrolls: Castles
Eginor,Bosmer,Male,The Elder Scrolls: Castles
Egranor,Bosmer,Male,The Elder Scrolls: Castles
Elanir,Bosmer,Male,The Elder Scrolls: Castles
Elebor,Bosmer,Male,The Elder Scrolls: Castles
Elphras,Bosmer,Male,The Elder Scrolls: Castles
Englor,Bosmer,Male,The Elder Scrolls: Castles
Eralgor,Bosmer,Male,The Elder Scrolls: Castles
Eranas,Bosmer,Male,The Elder Scrolls: Castles
Eranion,Bosmer,Male,The Elder Scrolls: Castles
Erthas,Bosmer,Male,The Elder Scrolls: Castles
Ethodan,Bosmer,Male,The Elder Scrolls: Castles
Faendal,Bosmer,Male,The Elder Scrolls: Castles
Faenir,Bosmer,Male,The Elder Scrolls: Castles
Faerelos,Bosmer,Male,The Elder Scrolls: Castles
Faerin,Bosmer,Male,The Elder Scrolls: Castles
Faradan,Bosmer,Male,The Elder Scrolls: Castles
Faralos,Bosmer,Male,The Elder Scrolls: Castles
Farandor,Bosmer,Male,The Elder Scrolls: Castles
Feladir,Bosmer,Male,The Elder Scrolls: Castles
Fengrin,Bosmer,Male,The Elder Scrolls: Castles
Filrond,Bosmer,Male,The Elder Scrolls: Castles
Findor,Bosmer,Male,The Elder Scrolls: Castles
Firras,Bosmer,Male,The Elder Scrolls: Castles
Firuin,Bosmer,Male,The Elder Scrolls: Castles
Foldor,Bosmer,Male,The Elder Scrolls: Castles
Forelfin,Bosmer,Male,The Elder Scrolls: Castles
Gaedil,Bosmer,Male,The Elder Scrolls: Castles
Galadros,Bosmer,Male,The Elder Scrolls: Castles
Gelin,Bosmer,Male,The Elder Scrolls: Castles
Gilimir,Bosmer,Male,The Elder Scrolls: Castles
Giralon,Bosmer,Male,The Elder Scrolls: Castles
Glanir,Bosmer,Male,The Elder Scrolls: Castles
Glathor,Bosmer,Male,The Elder Scrolls: Castles
Glaurolin,Bosmer,Male,The Elder Scrolls: Castles
Golor,Bosmer,Male,The Elder Scrolls: Castles
Gwannor,Bosmer,Male,The Elder Scrolls: Castles
Gwilon,Bosmer,Male,The Elder Scrolls: Castles
Gwindir,Bosmer,Male,The Elder Scrolls: Castles
Gwinor,Bosmer,Male,The Elder Scrolls: Castles
Hadran,Bosmer,Male,The Elder Scrolls: Castles
Halindor,Bosmer,Male,The Elder Scrolls: Castles
Halion,Bosmer,Male,The Elder Scrolls: Castles
Harin,Bosmer,Male,The Elder Scrolls: Castles
Helegur,Bosmer,Male,The Elder Scrolls: Castles
Helmir,Bosmer,Male,The Elder Scrolls: Castles
Heluin,Bosmer,Male,The Elder Scrolls: Castles
Hengolir,Bosmer,Male,The Elder Scrolls: Castles
Henodras,Bosmer,Male,The Elder Scrolls: Castles
Hingaron,Bosmer,Male,The Elder Scrolls: Castles
Ilring,Bosmer,Male,The Elder Scrolls: Castles
Indaryn,Bosmer,Male,The Elder Scrolls: Castles
Indring,Bosmer,Male,The Elder Scrolls: Castles
Lanelor,Bosmer,Male,The Elder Scrolls: Castles
Lenadan,Bosmer,Male,The Elder Scrolls: Castles
Lenoril,Bosmer,Male,The Elder Scrolls: Castles
Lereluin,Bosmer,Male,The Elder Scrolls: Castles
Lonor,Bosmer,Male,The Elder Scrolls: Castles
Madruin,Bosmer,Male,The Elder Scrolls: Castles
Maeroth,Bosmer,Male,The Elder Scrolls: Castles
Malgorin,Bosmer,Male,The Elder Scrolls: Castles
Malgoth,Bosmer,Male,The Elder Scrolls: Castles
Malinor,Bosmer,Male,The Elder Scrolls: Castles
Malvir,Bosmer,Male,The Elder Scrolls: Castles
Mandor,Bosmer,Male,The Elder Scrolls: Castles
Maruin,Bosmer,Male,The Elder Scrolls: Castles
Mathal,Bosmer,Male,The Elder Scrolls: Castles
Melas,Bosmer,Male,The Elder Scrolls: Castles
Melleron,Bosmer,Male,The Elder Scrolls: Castles
Melluin,Bosmer,Male,The Elder Scrolls: Castles
Menorfin,Bosmer,Male,The Elder Scrolls: Castles
Mingalion,Bosmer,Male,The Elder Scrolls: Castles
Mingor,Bosmer,Male,The Elder Scrolls: Castles
Modorin,Bosmer,Male,The Elder Scrolls: Castles
Mongoth,Bosmer,Male,The Elder Scrolls: Castles
Nalbor,Bosmer,Male,The Elder Scrolls: Castles
Nalguin,Bosmer,Male,The Elder Scrolls: Castles
Nedhellas,Bosmer,Male,The Elder Scrolls: Castles
Nedras,Bosmer,Male,The Elder Scrolls: Castles
Nedrin,Bosmer,Male,The Elder Scrolls: Castles
Nidras,Bosmer,Male,The Elder Scrolls: Castles
Nirilor,Bosmer,Male,The Elder Scrolls: Castles
Nirolos,Bosmer,Male,The Elder Scrolls: Castles
Obenion,Bosmer,Male,The Elder Scrolls: Castles
Ongalion,Bosmer,Male,The Elder Scrolls: Castles
Onglor,Bosmer,Male,The Elder Scrolls: Castles
Orchelos,Bosmer,Male,The Elder Scrolls: Castles
Orcholin,Bosmer,Male,The Elder Scrolls: Castles
Orenthel,Bosmer,Male,The Elder Scrolls: Castles
Oriell,Bosmer,Male,The Elder Scrolls: Castles
Orthelos,Bosmer,Male,The Elder Scrolls: Castles
Perinor,Bosmer,Male,The Elder Scrolls: Castles
Raendor,Bosmer,Male,The Elder Scrolls: Castles
Rafel,Bosmer,Male,The Elder Scrolls: Castles
Ralondel,Bosmer,Male,The Elder Scrolls: Castles
Rendarion,Bosmer,Male,The Elder Scrolls: Castles
Rilion,Bosmer,Male,The Elder Scrolls: Castles
Rithanion,Bosmer,Male,The Elder Scrolls: Castles
Rodring,Bosmer,Male,The Elder Scrolls: Castles
Rolion,Bosmer,Male,The Elder Scrolls: Castles
Rolon,Bosmer,Male,The Elder Scrolls: Castles
Ronthil,Bosmer,Male,The Elder Scrolls: Castles
Sarolion,Bosmer,Male,The Elder Scrolls: Castles
Saromir,Bosmer,Male,The Elder Scrolls: Castles
Tholor,Bosmer,Male,The Elder Scrolls: Castles
Thorinor,Bosmer,Male,The Elder Scrolls: Castles
Thoron,Bosmer,Male,The Elder Scrolls: Castles
Thragnor,Bosmer,Male,The Elder Scrolls: Castles
Thrandion,Bosmer,Male,The Elder Scrolls: Castles
Thranor,Bosmer,Male,The Elder Scrolls: Castles
Uldwin,Bosmer,Male,The Elder Scrolls: Castles
Ulmion,Bosmer,Male,The Elder Scrolls: Castles
Ungor,Bosmer,Male,The Elder Scrolls: Castles
Vicmond,Bosmer,Male,The Elder Scrolls: Castles
