name,race,gender,source
Draeg,Bosmer,Male,The Infernal City
Fenton,Bosmer,Male,The Infernal City
Thorongil,Bosmer,Male,The Improved Emperor's Guide to Tamriel
Alendis,Bosmer,Male,The Elder Scrolls: Chapter I - Arena
Basth,Bosmer,Male,The Elder Scrolls III: Morrowind
Beech,Bosmer,Male,The Elder Scrolls: Chapter II - Daggerfall
Bonorion,Bosmer,Male,The Elder Scrolls Online
Celedith,Bosmer,Male,The Elder Scrolls Online
Ehlhiel,Bosmer,Male,The Elder Scrolls V: Skyrim
Fathrys,Bosmer,Male,The Elder Scrolls V: Skyrim
Fonlor,Bosmer,Male,The Elder Scrolls Online
Geoffrey,Bosmer,Male,The Elder Scrolls: Chapter II - Daggerfall
Haymon,Bosmer,Male,The Elder Scrolls: Chapter II - Daggerfall
Mankar,Bosmer,Male,The Elder Scrolls IV: Oblivion
Menegur,Bosmer,Male,The Elder Scrolls III - Morrowind
Orben,Bosmer,Male,The Elder Scrolls IV: Oblivion
Saronor,Bosmer,Male,The Elder Scrolls Online
Vanirion,Bosmer,Male,The Elder Scrolls Online
