name,race,gender,source
Aengoth,Bosmer,Male,The Elder Scrolls III: Morrowind
Agarond,Bosmer,Male,The Elder Scrolls III: Morrowind
Allimir,Bosmer,Male,The Elder Scrolls III: Morrowind
Alveleg,Bosmer,Male,The Elder Scrolls III: Morrowind
Amring,Bosmer,Male,The Elder Scrolls III: Morrowind
Anglalos,Bosmer,Male,The Elder Scrolls III: Morrowind
Anruin,Bosmer,Male,The Elder Scrolls III: Morrowind
Arannir,Bosmer,Male,The Elder Scrolls III: Morrowind
Arathor,Bosmer,Male,The Elder Scrolls III: Morrowind
Baradras,Bosmer,Male,The Elder Scrolls III: Morrowind
Berengeval,Bosmer,Male,The Elder Scrolls III: Morrowind
Bolrin,Bosmer,Male,The Elder Scrolls III: Morrowind
Bragor,Bosmer,Male,The Elder Scrolls III: Morrowind
Brallion,Bosmer,Male,The Elder Scrolls III: Morrowind
Brithroth,Bosmer,Male,The Elder Scrolls III: Morrowind
Brolmir,Bosmer,Male,The Elder Scrolls III: Morrowind
Celegorn,Bosmer,Male,The Elder Scrolls III: Morrowind
Cingor,Bosmer,Male,The Elder Scrolls III: Morrowind
Clendil,Bosmer,Male,The Elder Scrolls III: Morrowind
Cun,Bosmer,Male,The Elder Scrolls III: Morrowind
Dangor,Bosmer,Male,The Elder Scrolls III: Morrowind
Denegor,Bosmer,Male,The Elder Scrolls III: Morrowind
Dirding,Bosmer,Male,The Elder Scrolls III: Morrowind
Dondir,Bosmer,Male,The Elder Scrolls III: Morrowind
Elberoth,Bosmer,Male,The Elder Scrolls III: Morrowind
Elegal,Bosmer,Male,The Elder Scrolls III: Morrowind
Eloroth,Bosmer,Male,The Elder Scrolls III: Morrowind
Endring,Bosmer,Male,The Elder Scrolls III: Morrowind
Engaer,Bosmer,Male,The Elder Scrolls III: Morrowind
Eradan,Bosmer,Male,The Elder Scrolls III: Morrowind
Erradan,Bosmer,Male,The Elder Scrolls III: Morrowind
Erval,Bosmer,Male,The Elder Scrolls III: Morrowind
Faldan,Bosmer,Male,The Elder Scrolls III: Morrowind
Fargoth,Bosmer,Male,The Elder Scrolls III: Morrowind
Faulgor,Bosmer,Male,The Elder Scrolls III: Morrowind
Fillin,Bosmer,Male,The Elder Scrolls III: Morrowind
Findulain,Bosmer,Male,The Elder Scrolls III: Morrowind
Foronir,Bosmer,Male,The Elder Scrolls III: Morrowind
Gaeldol,Bosmer,Male,The Elder Scrolls III: Morrowind
Gaenor,Bosmer,Male,The Elder Scrolls III: Morrowind
Galmir,Bosmer,Male,The Elder Scrolls III: Morrowind
Galthragoth,Bosmer,Male,The Elder Scrolls III: Morrowind
Gazalem,Bosmer,Male,The Elder Scrolls III: Morrowind
Gerrilgor,Bosmer,Male,The Elder Scrolls III: Morrowind
Glaum,Bosmer,Male,The Elder Scrolls III: Morrowind
Glonagoth,Bosmer,Male,The Elder Scrolls III: Morrowind
Godros,Bosmer,Male,The Elder Scrolls III: Morrowind
Gorchalas,Bosmer,Male,The Elder Scrolls III: Morrowind
Hingor,Bosmer,Male,The Elder Scrolls III: Morrowind
Meldor,Bosmer,Male,The Elder Scrolls III: Morrowind
Menelras,Bosmer,Male,The Elder Scrolls III: Morrowind
Minedhel,Bosmer,Male,The Elder Scrolls III: Morrowind
Minglos,Bosmer,Male,The Elder Scrolls III: Morrowind
Monthadan,Bosmer,Male,The Elder Scrolls III: Morrowind
Morth,Bosmer,Male,The Elder Scrolls III: Morrowind
Nalion,Bosmer,Male,The Elder Scrolls III: Morrowind
Nedhelas,Bosmer,Male,The Elder Scrolls III: Morrowind
Nedhelorn,Bosmer,Male,The Elder Scrolls III: Morrowind
Pegasai,Bosmer,Male,The Elder Scrolls III: Morrowind
Peragon,Bosmer,Male,The Elder Scrolls III: Morrowind
Rithrannir,Bosmer,Male,The Elder Scrolls III: Morrowind
Tarhiel,Bosmer,Male,The Elder Scrolls III: Morrowind
Thoromlallor,Bosmer,Male,The Elder Scrolls III: Morrowind
Thoronor,Bosmer,Male,The Elder Scrolls III: Morrowind
Tuundir,Bosmer,Male,The Elder Scrolls III: Morrowind
Ulwaen,Bosmer,Male,The Elder Scrolls III: Morrowind
Ungeleb,Bosmer,Male,The Elder Scrolls III: Morrowind
