name,race,gender,source
Aengvir,Bosmer,Male,The Elder Scrolls IV: Oblivion
Amragor,Bosmer,Male,The Elder Scrolls IV: Oblivion
Anglor,Bosmer,Male,The Elder Scrolls IV: Oblivion
Anguilon,Bosmer,Male,The Elder Scrolls IV: Oblivion
Athragar,Bosmer,Male,The Elder Scrolls IV: Oblivion
Athrelor,Bosmer,Male,The Elder Scrolls IV: Oblivion
Baenlin,Bosmer,Male,The Elder Scrolls IV: Oblivion
Baeralorn,Bosmer,Male,The Elder Scrolls IV: Oblivion
Brellin,Bosmer,Male,The Elder Scrolls IV: Oblivion
Brithaur,Bosmer,Male,The Elder Scrolls IV: Oblivion
Brodras,Bosmer,Male,The Elder Scrolls IV: Oblivion
Bolwing,Bosmer,Male,The Elder Scrolls IV: Oblivion
Caenlin,Bosmer,Male,The Elder Scrolls IV: Oblivion
Caenlorn,Bosmer,Male,The Elder Scrolls IV: Oblivion
Cingaer,Bosmer,Male,The Elder Scrolls IV: Oblivion
Cingor,Bosmer,Male,The Elder Scrolls IV: Oblivion
Daenlin,Bosmer,Male,The Elder Scrolls IV: Oblivion
Dervenin,Bosmer,Male,The Elder Scrolls IV: Oblivion
Engorm,Bosmer,Male,The Elder Scrolls IV: Oblivion
Enilroth,Bosmer,Male,The Elder Scrolls IV: Oblivion
Eridor,Bosmer,Male,The Elder Scrolls IV: Oblivion
Erthor,Bosmer,Male,The Elder Scrolls IV: Oblivion
Fimmion,Bosmer,Male,The Elder Scrolls IV: Oblivion
Fithragaer,Bosmer,Male,The Elder Scrolls IV: Oblivion
Foroch,Bosmer,Male,The Elder Scrolls IV: Oblivion
Gelephor,Bosmer,Male,The Elder Scrolls IV: Oblivion
Glarthir,Bosmer,Male,The Elder Scrolls IV: Oblivion
Gloorolros,Bosmer,Male,The Elder Scrolls IV: Oblivion
Gundalas,Bosmer,Male,The Elder Scrolls IV: Oblivion
Gwinas,Bosmer,Male,The Elder Scrolls IV: Oblivion
Hagaer,Bosmer,Male,The Elder Scrolls IV: Oblivion
Hundolin,Bosmer,Male,The Elder Scrolls IV: Oblivion
Maenlorn,Bosmer,Male,The Elder Scrolls IV: Oblivion
Maglir,Bosmer,Male,The Elder Scrolls IV: Oblivion
Nedhelfin,Bosmer,Male,The Elder Scrolls IV: Oblivion
Niraegaer,Bosmer,Male,The Elder Scrolls IV: Oblivion
Nordinor,Bosmer,Male,The Elder Scrolls IV: Oblivion
Rindir,Bosmer,Male,The Elder Scrolls IV: Oblivion
Thadon,Bosmer,Male,The Elder Scrolls IV: Oblivion
Thaurron,Bosmer,Male,The Elder Scrolls IV: Oblivion
Thoronir,Bosmer,Male,The Elder Scrolls IV: Oblivion
Thrangirfin,Bosmer,Male,The Elder Scrolls IV: Oblivion
Thurindil,Bosmer,Male,The Elder Scrolls IV: Oblivion
Ungolim,Bosmer,Male,The Elder Scrolls IV: Oblivion
Urunil,Bosmer,Male,The Elder Scrolls IV: Oblivion
Uungor,Bosmer,Male,The Elder Scrolls IV: Oblivion
Uuras,Bosmer,Male,The Elder Scrolls IV: Oblivion
