name,race,gender,source
Hunal,Khajiit,Male,The Improved Emperor's Guide to Tamriel
Jobasha-do,Khajiit,Male,The Improved Emperor's Guide to Tamriel
Ma'rashirr,Khajiit,Male,The Improved Emperor's Guide to Tamriel
Ra'tassa,Khajiit,Male,The Improved Emperor's Guide to Tamriel
Iffech,Khajiit,Male,The Infernal City
J'lasha,Khajiit,Male,The Infernal City
Keem,Khajiit,Male,The Infernal City
Khasha,Khajiit,Male,The Infernal City
Lwef-Dim,Khajiit,Male,The Infernal City
Sha'jal,Khajiit,Male,The Infernal City
Ta'dashi,Khajiit,Male,The Elder Scrolls Online: The Official Survival Guide to Tamriel
Zadabal-ra,Khajiit,Male,Gathering Force: Arms and Armor of Tamriel
Zagun-ra,Khajiit,Male,Kyne's Challenge: A Hunter's Companion
Abilar,Khajiit,Male,The Elder Scrolls Online
Azarrid,Khajiit,Male,The Elder Scrolls Online
Azelit-ra,Khajiit,Male,The Elder Scrolls Online
Cherim,Khajiit,Male,The Elder Scrolls III: Morrowind
Dro'Zel,Khajiit,Male,The Elder Scrolls III: Morrowind
Dro'Zira,Khajiit,Male,The Elder Scrolls V: Skyrim
Enak-do,Khajiit,Male,The Elder Scrolls Online
Ezudash,Khajiit,Male,The Elder Scrolls Online
Ezzag,Khajiit,Male,The Elder Scrolls Online
Felari-ko,Khajiit,Male,The Elder Scrolls Online
Helnor,Khajiit,Male,The Elder Scrolls: Chapter II - Daggerfall
Juha-ri,Khajiit,Male,The Elder Scrolls Online
K'Sharra,Khajiit,Male,The Elder Scrolls IV: Oblivion
K'sirr,Khajiit,Male,The Elder Scrolls IV: Oblivion
Kazagh,Khajiit,Male,The Elder Scrolls III: Morrowind
Keirgo,Khajiit,Male,The Elder Scrolls Adventures: Redguard
Khunzar-ri,Khajiit,Male,The Elder Scrolls Online
Mazaram,Khajiit,Male,The Elder Scrolls Online
Mhakij,Khajiit,Male,People of Morrowind
Mojhad,Khajiit,Male,The Elder Scrolls: Chapter II - Daggerfall
Naruz,Khajiit,Male,The Elder Scrolls Online
Nizun-ja,Khajiit,Male,The Elder Scrolls Online
Qa-Dar,Khajiit,Male,The Elder Scrolls IV: Oblivion
Rajhin,Khajiit,Male,The Elder Scrolls Online
S'Riizh,Khajiit,Male,The Elder Scrolls III: Morrowind
Samaril,Khajiit,Male,The Elder Scrolls Online
Therris,Khajiit,Male,The Elder Scrolls: Chapter II - Daggerfall
Zizar-dar,Khajiit,Male,The Elder Scrolls Online
Zoaraym,Khajiit,Male,The Elder Scrolls III: Morrowind
Zukki-dar,Khajiit,Male,The Elder Scrolls Online
Eagle Eye,Khajiit,Male,The Elder Scrolls Online
