name,race,gender,source
Bhisha,Khajiit,Male,The Elder Scrolls IV: Oblivion
Dahlima,Khajiit,Male,The Elder Scrolls IV: Oblivion
Dro'shanji,Khajiit,Male,The Elder Scrolls IV: Oblivion
Hassiri,Khajiit,Male,The Elder Scrolls IV: Oblivion
J'baana,Khajiit,Male,The Elder Scrolls IV: Oblivion
J'Baasha,Khajiit,Male,The Elder Scrolls IV: Oblivion
J'bari,Khajiit,Male,The Elder Scrolls IV: Oblivion
J'Ghasta,Khajiit,Male,The Elder Scrolls IV: Oblivion
J'mhad,Khajiit,Male,The Elder Scrolls IV: Oblivion
J'riska,Khajiit,Male,The Elder Scrolls IV: Oblivion
J'skar,Khajiit,Male,The Elder Scrolls IV: Oblivion
J'zidzo,Khajiit,Male,The Elder Scrolls IV: Oblivion
J'zin-Dar,Khajiit,Male,The Elder Scrolls IV: Oblivion
Ja'Fazir,Khajiit,Male,The Elder Scrolls IV: Oblivion
K'Sharr,Khajiit,Male,The Elder Scrolls IV: Oblivion
M'aiq,Khajiit,Male,The Elder Scrolls IV: Oblivion
Ma'Raska,Khajiit,Male,The Elder Scrolls IV: Oblivion
Ma'zaddha,Khajiit,Male,The Elder Scrolls IV: Oblivion
M'dasha,Khajiit,Male,The Elder Scrolls IV: Oblivion
M'desi,Khajiit,Male,The Elder Scrolls IV: Oblivion
M'dirr,Khajiit,Male,The Elder Scrolls IV: Oblivion
M'raaj-Dar,Khajiit,Male,The Elder Scrolls IV: Oblivion
Ranarr-Jo,Khajiit,Male,The Elder Scrolls IV: Oblivion
R'vanni,Khajiit,Male,The Elder Scrolls IV: Oblivion
Ra'dirsha,Khajiit,Male,The Elder Scrolls IV: Oblivion
Ra'Jahirr,Khajiit,Male,The Elder Scrolls IV: Oblivion
Ra'Jhan,Khajiit,Male,The Elder Scrolls IV: Oblivion
Ra'jhera,Khajiit,Male,The Elder Scrolls IV: Oblivion
Ra'jiradh,Khajiit,Male,The Elder Scrolls IV: Oblivion
Ri'Bassa,Khajiit,Male,The Elder Scrolls IV: Oblivion
Ri'Jirr,Khajiit,Male,The Elder Scrolls IV: Oblivion
Ri'Zakar,Khajiit,Male,The Elder Scrolls IV: Oblivion
S'drassa,Khajiit,Male,The Elder Scrolls IV: Oblivion
S'rathad,Khajiit,Male,The Elder Scrolls IV: Oblivion
S'razirr,Khajiit,Male,The Elder Scrolls IV: Oblivion
S'shani,Khajiit,Male,The Elder Scrolls IV: Oblivion
Urjabhi,Khajiit,Male,The Elder Scrolls IV: Oblivion
