name,race,gender,source
Alvasorr,Khajiit,Male,The Elder Scrolls V: Skyrim
Dro'marash,Khajiit,Male,The Elder Scrolls V: Skyrim
J'darr,Khajiit,Male,The Elder Scrolls V: Skyrim
J'datharr,Khajiit,Male,The Elder Scrolls V: Skyrim
J'Kier,Khajiit,Male,The Elder Scrolls V: Skyrim
J'zargo,Khajiit,Male,The Elder Scrolls V: Skyrim
J'zhar,Khajiit,Male,The Elder Scrolls V: Skyrim
Kharjo,Khajiit,Male,The Elder Scrolls V: Skyrim
Kesh,Khajiit,Male,The Elder Scrolls V: Skyrim
Ma'dran,Khajiit,Male,The Elder Scrolls V: Skyrim
Ma'jhad,Khajiit,Male,The Elder Scrolls V: Skyrim
Ma'randru-jo,Khajiit,Male,The Elder Scrolls V: Skyrim
Ma'tasarr,Khajiit,Male,The Elder Scrolls V: Skyrim
Ma'zaka,Khajiit,Male,The Elder Scrolls V: Skyrim
M'aiq,Khajiit,Male,The Elder Scrolls V: Skyrim
Ra'jirr,Khajiit,Male,The Elder Scrolls V: Skyrim
Ra'kheran,Khajiit,Male,The Elder Scrolls V: Skyrim
Ri'saad,Khajiit,Male,The Elder Scrolls V: Skyrim
Vasha,Khajiit,Male,The Elder Scrolls V: Skyrim
