name,race,gender,source
Abzug,Orc,Male,The Elder Scrolls: Castles
Agnar,Orc,Male,The Elder Scrolls: Castles
Agrakh,Orc,Male,The Elder Scrolls: Castles
Arghur,Orc,Male,The Elder Scrolls: Castles
Azarg,Orc,Male,The Elder Scrolls: Castles
Azogu,Orc,Male,The Elder Scrolls: Castles
Baloth,Orc,Male,The Elder Scrolls: Castles
Bargrug,Orc,Male,The Elder Scrolls: Castles
Bashnag,Orc,Male,The Elder Scrolls: Castles
Bashug,Orc,Male,The Elder Scrolls: Castles
Bazul,Orc,Male,The Elder Scrolls: Castles
Begok,Orc,Male,The Elder Scrolls: Castles
Berbog,Orc,Male,The Elder Scrolls: Castles
Blograth,Orc,Male,The Elder Scrolls: Castles
Bogham,Orc,Male,The Elder Scrolls: Castles
Boghoth,Orc,Male,The Elder Scrolls: Castles
Bognash,Orc,Male,The Elder Scrolls: Castles
Bogor,Orc,Male,The Elder Scrolls: Castles
Bolg,Orc,Male,The Elder Scrolls: Castles
Borgath,Orc,Male,The Elder Scrolls: Castles
Borgh,Orc,Male,The Elder Scrolls: Castles
Borkul,Orc,Male,The Elder Scrolls: Castles
Borz,Orc,Male,The Elder Scrolls: Castles
Braghul,Orc,Male,The Elder Scrolls: Castles
Brog,Orc,Male,The Elder Scrolls: Castles
Brogul,Orc,Male,The Elder Scrolls: Castles
Brokk,Orc,Male,The Elder Scrolls: Castles
Bulfim,Orc,Male,The Elder Scrolls: Castles
Bullig,Orc,Male,The Elder Scrolls: Castles
Bulzog,Orc,Male,The Elder Scrolls: Castles
Burat,Orc,Male,The Elder Scrolls: Castles
Burguk,Orc,Male,The Elder Scrolls: Castles
Burush,Orc,Male,The Elder Scrolls: Castles
Burzol,Orc,Male,The Elder Scrolls: Castles
Buzog,Orc,Male,The Elder Scrolls: Castles
Buzug,Orc,Male,The Elder Scrolls: Castles
Carzog,Orc,Male,The Elder Scrolls: Castles
Dagnub,Orc,Male,The Elder Scrolls: Castles
Dorzogg,Orc,Male,The Elder Scrolls: Castles
Dragom,Orc,Male,The Elder Scrolls: Castles
Dugakh,Orc,Male,The Elder Scrolls: Castles
Dugroth,Orc,Male,The Elder Scrolls: Castles
Dugrul,Orc,Male,The Elder Scrolls: Castles
Dugug,Orc,Male,The Elder Scrolls: Castles
Durak,Orc,Male,The Elder Scrolls: Castles
Dushkul,Orc,Male,The Elder Scrolls: Castles
Dushnag,Orc,Male,The Elder Scrolls: Castles
Duzug,Orc,Male,The Elder Scrolls: Castles
Fangoz,Orc,Male,The Elder Scrolls: Castles
Fheg,Orc,Male,The Elder Scrolls: Castles
Gahar,Orc,Male,The Elder Scrolls: Castles
Gahznar,Orc,Male,The Elder Scrolls: Castles
Gargak,Orc,Male,The Elder Scrolls: Castles
Garzul,Orc,Male,The Elder Scrolls: Castles
Ghak,Orc,Male,The Elder Scrolls: Castles
Ghamorz,Orc,Male,The Elder Scrolls: Castles
Ghashnag,Orc,Male,The Elder Scrolls: Castles
Ghorkul,Orc,Male,The Elder Scrolls: Castles
Ghorn,Orc,Male,The Elder Scrolls: Castles
Ghornag,Orc,Male,The Elder Scrolls: Castles
Ghrum,Orc,Male,The Elder Scrolls: Castles
Glarg,Orc,Male,The Elder Scrolls: Castles
Gloorag,Orc,Male,The Elder Scrolls: Castles
Glurdag,Orc,Male,The Elder Scrolls: Castles
Godrun,Orc,Male,The Elder Scrolls: Castles
Golbag,Orc,Male,The Elder Scrolls: Castles
Goorgul,Orc,Male,The Elder Scrolls: Castles
Goragol,Orc,Male,The Elder Scrolls: Castles
Gorak,Orc,Male,The Elder Scrolls: Castles
Gorgath,Orc,Male,The Elder Scrolls: Castles
Gorrath,Orc,Male,The Elder Scrolls: Castles
