name,race,gender,source
Arakaul,Orc,Male,The Elder Scrolls Online
Bakozog,Orc,Male,The Elder Scrolls Online
Bolazgar,Orc,Male,The Elder Scrolls Online
Durgob,Orc,Male,The Elder Scrolls V: Skyrim
Duzhal,Orc,Male,The Elder Scrolls Online
Golkarr,Orc,Male,The Elder Scrolls Online
Grish,Orc,Male,The Elder Scrolls Online
Grul,Orc,Male,The Elder Scrolls V: Skyrim
Lorb,Orc,Male,The Elder Scrolls Online
Makgruk,Orc,Male,The Elder Scrolls Online
Mog,Orc,Male,The Elder Scrolls V: Skyrim
Nargi,Orc,Male,The Elder Scrolls Online
Orbath,Orc,Male,The Elder Scrolls Online
Othmash,Orc,Male,The Elder Scrolls V: Skyrim
Ramolg,Orc,Male,The Elder Scrolls V: Skyrim
Ritrag,Orc,Male,The Elder Scrolls Online
Shane,Orc,Male,The Elder Scrolls Online
Shelakh,Orc,Male,The Elder Scrolls V: Skyrim
Thruz,Orc,Male,The Elder Scrolls Online
Thugbo,Orc,Male,The Elder Scrolls Online
Thukhozod,Orc,Male,The Elder Scrolls Online
Urbek,Orc,Male,The Elder Scrolls Online
Urzog,Orc,Male,The Elder Scrolls V: Skyrim
Urgnok,Orc,Male,The Elder Scrolls V: Skyrim
Uzgakh,Orc,Male,The Elder Scrolls V: Skyrim
Yashnag,Orc,Male,The Elder Scrolls Online
Zbulgat,Orc,Male,The Elder Scrolls Online
