name,race,gender,source
Moghakh,Orc,Male,The Elder Scrolls III: Morrowind
Atulg,Orc,Male,The Elder Scrolls III: Morrowind
Azuk,Orc,Male,The Elder Scrolls III: Morrowind
Bagamul,Orc,Male,The Elder Scrolls III: Morrowind
Bakh,Orc,Male,The Elder Scrolls III: Morrowind
Baronk,Orc,Male,The Elder Scrolls III: Morrowind
Bashag,Orc,Male,The Elder Scrolls III: Morrowind
Bazgulub,Orc,Male,The Elder Scrolls III: Morrowind
Bogakh,Orc,Male,The Elder Scrolls III: Morrowind
Bologra,Orc,Male,The Elder Scrolls III: Morrowind
Borug,Orc,Male,The Elder Scrolls III: Morrowind
Both,Orc,Male,The Elder Scrolls III: Morrowind
Bugdul,Orc,Male,The Elder Scrolls III: Morrowind
Bugharz,Orc,Male,The Elder Scrolls III: Morrowind
Bugrash,Orc,Male,The Elder Scrolls III: Morrowind
Bugrol,Orc,Male,The Elder Scrolls III: Morrowind
Bumbub,Orc,Male,The Elder Scrolls III: Morrowind
Burul,Orc,Male,The Elder Scrolls III: Morrowind
Dul,Orc,Male,The Elder Scrolls III: Morrowind
Dular,Orc,Male,The Elder Scrolls III: Morrowind
Duluk,Orc,Male,The Elder Scrolls III: Morrowind
Duma,Orc,Male,The Elder Scrolls III: Morrowind
Dumbuk,Orc,Male,The Elder Scrolls III: Morrowind
Dumburz,Orc,Male,The Elder Scrolls III: Morrowind
Dur,Orc,Male,The Elder Scrolls III: Morrowind
Durbul,Orc,Male,The Elder Scrolls III: Morrowind
Durgash,Orc,Male,The Elder Scrolls III: Morrowind
Durz,Orc,Male,The Elder Scrolls III: Morrowind
Durzol,Orc,Male,The Elder Scrolls III: Morrowind
Durzub,Orc,Male,The Elder Scrolls III: Morrowind
Durzum,Orc,Male,The Elder Scrolls III: Morrowind
Garothmuk,Orc,Male,The Elder Scrolls III: Morrowind
Garzonk,Orc,Male,The Elder Scrolls III: Morrowind
Gashna,Orc,Male,The Elder Scrolls III: Morrowind
Ghamborz,Orc,Male,The Elder Scrolls III: Morrowind
Ghamonk,Orc,Male,The Elder Scrolls III: Morrowind
Ghoragdush,Orc,Male,The Elder Scrolls III: Morrowind
Ghorlorz,Orc,Male,The Elder Scrolls III: Morrowind
Glush,Orc,Male,The Elder Scrolls III: Morrowind
Grat,Orc,Male,The Elder Scrolls III: Morrowind
Gruzgob,Orc,Male,The Elder Scrolls III: Morrowind
Guarg,Orc,Male,The Elder Scrolls III: Morrowind
Gurak,Orc,Male,The Elder Scrolls III: Morrowind
Khadba,Orc,Male,The Elder Scrolls III: Morrowind
Khagra,Orc,Male,The Elder Scrolls III: Morrowind
Khargol,Orc,Male,The Elder Scrolls III: Morrowind
Koffutto,Orc,Male,The Elder Scrolls III: Morrowind
Largakh,Orc,Male,The Elder Scrolls III: Morrowind
Lorbumol,Orc,Male,The Elder Scrolls III: Morrowind
Lorzub,Orc,Male,The Elder Scrolls III: Morrowind
Lugdum,Orc,Male,The Elder Scrolls III: Morrowind
Lugrub,Orc,Male,The Elder Scrolls III: Morrowind
Lurog,Orc,Male,The Elder Scrolls III: Morrowind
Mash,Orc,Male,The Elder Scrolls III: Morrowind
Matuk,Orc,Male,The Elder Scrolls III: Morrowind
Mauhul,Orc,Male,The Elder Scrolls III: Morrowind
Mazorn,Orc,Male,The Elder Scrolls III: Morrowind
Mol,Orc,Male,The Elder Scrolls III: Morrowind
Morbash,Orc,Male,The Elder Scrolls III: Morrowind
Mug,Orc,Male,The Elder Scrolls III: Morrowind
Mugdul,Orc,Male,The Elder Scrolls III: Morrowind
Muk,Orc,Male,The Elder Scrolls III: Morrowind
Murag,Orc,Male,The Elder Scrolls III: Morrowind
Murkub,Orc,Male,The Elder Scrolls III: Morrowind
Murzol,Orc,Male,The Elder Scrolls III: Morrowind
Muzgonk,Orc,Male,The Elder Scrolls III: Morrowind
Nag,Orc,Male,The Elder Scrolls III: Morrowind
Nar,Orc,Male,The Elder Scrolls III: Morrowind
Nash,Orc,Male,The Elder Scrolls III: Morrowind
Ogrul,Orc,Male,The Elder Scrolls III: Morrowind
Ogrumbu,Orc,Male,The Elder Scrolls III: Morrowind
Olfin,Orc,Male,The Elder Scrolls III: Morrowind
Olumba,Orc,Male,The Elder Scrolls III: Morrowind
Orakh,Orc,Male,The Elder Scrolls III: Morrowind
Rogdul,Orc,Male,The Elder Scrolls III: Morrowind
Shakh,Orc,Male,The Elder Scrolls III: Morrowind
Shamar,Orc,Male,The Elder Scrolls III: Morrowind
Shamob,Orc,Male,The Elder Scrolls III: Morrowind
Shargam,Orc,Male,The Elder Scrolls III: Morrowind
Sharkub,Orc,Male,The Elder Scrolls III: Morrowind
Shat,Orc,Male,The Elder Scrolls III: Morrowind
Shazgob,Orc,Male,The Elder Scrolls III: Morrowind
Shulong,Orc,Male,The Elder Scrolls III: Morrowind
Shura,Orc,Male,The Elder Scrolls III: Morrowind
Shurkul,Orc,Male,The Elder Scrolls III: Morrowind
Shuzug,Orc,Male,The Elder Scrolls III: Morrowind
Snaglak,Orc,Male,The Elder Scrolls III: Morrowind
Snakha,Orc,Male,The Elder Scrolls III: Morrowind
Snat,Orc,Male,The Elder Scrolls III: Morrowind
Ugdumph,Orc,Male,The Elder Scrolls III: Morrowind
Ughash,Orc,Male,The Elder Scrolls III: Morrowind
Ulam,Orc,Male,The Elder Scrolls III: Morrowind
Umug,Orc,Male,The Elder Scrolls III: Morrowind
Uram,Orc,Male,The Elder Scrolls III: Morrowind
Urim,Orc,Male,The Elder Scrolls III: Morrowind
Urul,Orc,Male,The Elder Scrolls III: Morrowind
Urzog,Orc,Male,The Elder Scrolls III: Morrowind
Ushamph,Orc,Male,The Elder Scrolls III: Morrowind
Ushat,Orc,Male,The Elder Scrolls III: Morrowind
