name,race,gender,source
Agronak,Orc,Male,The Elder Scrolls IV: Oblivion
Bagdu,Orc,Male,The Elder Scrolls IV: Oblivion
Bat,Orc,Male,The Elder Scrolls IV: Oblivion
Bazur,Orc,Male,The Elder Scrolls IV: Oblivion
Brugo,Orc,Male,The Elder Scrolls IV: Oblivion
Bogrum,Orc,Male,The Elder Scrolls IV: Oblivion
Brag,Orc,Male,The Elder Scrolls IV: Oblivion
Brokil,Orc,Male,The Elder Scrolls IV: Oblivion
Bugak,Orc,Male,The Elder Scrolls IV: Oblivion
Buramog,Orc,Male,The Elder Scrolls IV: Oblivion
Burz,Orc,Male,The Elder Scrolls IV: Oblivion
Dubok,Orc,Male,The Elder Scrolls IV: Oblivion
Dul,Orc,Male,The Elder Scrolls IV: Oblivion
Dulfish,Orc,Male,The Elder Scrolls IV: Oblivion
Dulphumph,Orc,Male,The Elder Scrolls IV: Oblivion
Dumag,Orc,Male,The Elder Scrolls IV: Oblivion
Gaturn,Orc,Male,The Elder Scrolls IV: Oblivion
Ghola,Orc,Male,The Elder Scrolls IV: Oblivion
Ghorub,Orc,Male,The Elder Scrolls IV: Oblivion
Gogron,Orc,Male,The Elder Scrolls IV: Oblivion
Gorgo,Orc,Male,The Elder Scrolls IV: Oblivion
Graklak,Orc,Male,The Elder Scrolls IV: Oblivion
Graman,Orc,Male,The Elder Scrolls IV: Oblivion
Grommok,Orc,Male,The Elder Scrolls IV: Oblivion
Gul,Orc,Male,The Elder Scrolls IV: Oblivion
Hanz,Orc,Male,The Elder Scrolls IV: Oblivion
Krognak,Orc,Male,The Elder Scrolls IV: Oblivion
Kurdan,Orc,Male,The Elder Scrolls IV: Oblivion
Kurz,Orc,Male,The Elder Scrolls IV: Oblivion
Lum,Orc,Male,The Elder Scrolls IV: Oblivion
Lumdum,Orc,Male,The Elder Scrolls IV: Oblivion
Luronk,Orc,Male,The Elder Scrolls IV: Oblivion
Magra,Orc,Male,The Elder Scrolls IV: Oblivion
Magub,Orc,Male,The Elder Scrolls IV: Oblivion
Maknok,Orc,Male,The Elder Scrolls IV: Oblivion
Mug,Orc,Male,The Elder Scrolls IV: Oblivion
Oghat,Orc,Male,The Elder Scrolls IV: Oblivion
Orok,Orc,Male,The Elder Scrolls IV: Oblivion
Murgakh,Orc,Male,The Elder Scrolls IV: Oblivion
Rugdumph,Orc,Male,The Elder Scrolls IV: Oblivion
Shagol,Orc,Male,The Elder Scrolls IV: Oblivion
Shagrol,Orc,Male,The Elder Scrolls IV: Oblivion
Shobob,Orc,Male,The Elder Scrolls IV: Oblivion
Shum,Orc,Male,The Elder Scrolls IV: Oblivion
Ulmug,Orc,Male,The Elder Scrolls IV: Oblivion
Urbul,Orc,Male,The Elder Scrolls IV: Oblivion
Urul,Orc,Male,The Elder Scrolls IV: Oblivion
Ushnar,Orc,Male,The Elder Scrolls IV: Oblivion
Uzul,Orc,Male,The Elder Scrolls IV: Oblivion
