name,race,source
Bagdub,Orc,The Elder Scrolls III: Morrowind
Bulfim,Orc,The Elder Scrolls III: Morrowind
Ulfish,Orc,The Elder Scrolls III: Morrowind
Agadbu,Orc,The Elder Scrolls III: Morrowind
Aglakh,Orc,The Elder Scrolls III: Morrowind
Agum,Orc,The Elder Scrolls III: Morrowind
Atumph,Orc,The Elder Scrolls III: Morrowind
Azorku,Orc,The Elder Scrolls III: Morrowind
Badbu,Orc,The Elder Scrolls III: Morrowind
Bagrat,Orc,The Elder Scrolls III: Morrowind
Bagul,Orc,The Elder Scrolls III: Morrowind
Bamog,Orc,The Elder Scrolls III: Morrowind
Bar,Orc,The Elder Scrolls III: Morrowind
Bargamph,Orc,The Elder Scrolls III: Morrowind
Bashnag,Orc,The Elder Scrolls III: Morrowind
Bat,Orc,The Elder Scrolls III: Morrowind
Batul,Orc,The Elder Scrolls III: Morrowind
Boga,Orc,The Elder Scrolls III: Morrowind
Bogamakh,Orc,The Elder Scrolls III: Morrowind
Bogharz,Orc,The Elder Scrolls III: Morrowind
Bogla,Orc,The Elder Scrolls III: Morrowind
Boglar,Orc,The Elder Scrolls III: Morrowind
Bogrol,Orc,The Elder Scrolls III: Morrowind
Boguk,Orc,The Elder Scrolls III: Morrowind
Bol,Orc,The Elder Scrolls III: Morrowind
Bolak,Orc,The Elder Scrolls III: Morrowind
Borbog,Orc,The Elder Scrolls III: Morrowind
Borbul,Orc,The Elder Scrolls III: Morrowind
Bug,Orc,The Elder Scrolls III: Morrowind
Bugarn,Orc,The Elder Scrolls III: Morrowind
Bulag,Orc,The Elder Scrolls III: Morrowind
Bularz,Orc,The Elder Scrolls III: Morrowind
Bulfish,Orc,The Elder Scrolls III: Morrowind
Burbug,Orc,The Elder Scrolls III: Morrowind
Burish,Orc,The Elder Scrolls III: Morrowind
Burol,Orc,The Elder Scrolls III: Morrowind
Buzga,Orc,The Elder Scrolls III: Morrowind
Dugul,Orc,The Elder Scrolls III: Morrowind
Dul,Orc,The Elder Scrolls III: Morrowind
Dula,Orc,The Elder Scrolls III: Morrowind
Dulob,Orc,The Elder Scrolls III: Morrowind
Dumul,Orc,The Elder Scrolls III: Morrowind
Dumulg,Orc,The Elder Scrolls III: Morrowind
Durga,Orc,The Elder Scrolls III: Morrowind
Durog,Orc,The Elder Scrolls III: Morrowind
Durug,Orc,The Elder Scrolls III: Morrowind
Dush,Orc,The Elder Scrolls III: Morrowind
Gar,Orc,The Elder Scrolls III: Morrowind
Gashel,Orc,The Elder Scrolls III: Morrowind
Gat,Orc,The Elder Scrolls III: Morrowind
Ghash,Orc,The Elder Scrolls III: Morrowind
Ghasharzol,Orc,The Elder Scrolls III: Morrowind
Gholfim,Orc,The Elder Scrolls III: Morrowind
Gholob,Orc,The Elder Scrolls III: Morrowind
Ghorak,Orc,The Elder Scrolls III: Morrowind
Gilgar,Orc,The Elder Scrolls III: Morrowind
Glorzuf,Orc,The Elder Scrolls III: Morrowind
Gluk,Orc,The Elder Scrolls III: Morrowind
Glurkub,Orc,The Elder Scrolls III: Morrowind
Gorzog,Orc,The Elder Scrolls III: Morrowind
Grambak,Orc,The Elder Scrolls III: Morrowind
Gulfim,Orc,The Elder Scrolls III: Morrowind
Gurakh,Orc,The Elder Scrolls III: Morrowind
Gurub,Orc,The Elder Scrolls III: Morrowind
Kashug,Orc,The Elder Scrolls III: Morrowind
Khagdum,Orc,The Elder Scrolls III: Morrowind
Kharbush,Orc,The Elder Scrolls III: Morrowind
Kharz,Orc,The Elder Scrolls III: Morrowind
Khash,Orc,The Elder Scrolls III: Morrowind
Khashnar,Orc,The Elder Scrolls III: Morrowind
Khatub,Orc,The Elder Scrolls III: Morrowind
Khazor,Orc,The Elder Scrolls III: Morrowind
Lag,Orc,The Elder Scrolls III: Morrowind
Lagdub,Orc,The Elder Scrolls III: Morrowind
Largum,Orc,The Elder Scrolls III: Morrowind
Lazgarn,Orc,The Elder Scrolls III: Morrowind
Loghash,Orc,The Elder Scrolls III: Morrowind
Logob,Orc,The Elder Scrolls III: Morrowind
Logrob,Orc,The Elder Scrolls III: Morrowind
Lorga,Orc,The Elder Scrolls III: Morrowind
Lumbuk,Orc,The Elder Scrolls III: Morrowind
Lumob,Orc,The Elder Scrolls III: Morrowind
Lurkul,Orc,The Elder Scrolls III: Morrowind
Lurn,Orc,The Elder Scrolls III: Morrowind
Luzgan,Orc,The Elder Scrolls III: Morrowind
Magar,Orc,The Elder Scrolls III: Morrowind
Magrish,Orc,The Elder Scrolls III: Morrowind
Mar,Orc,The Elder Scrolls III: Morrowind
Marob,Orc,The Elder Scrolls III: Morrowind
Mashnar,Orc,The Elder Scrolls III: Morrowind
Mogduk,Orc,The Elder Scrolls III: Morrowind
Moghakh,Orc,The Elder Scrolls III: Morrowind
Mughol,Orc,The Elder Scrolls III: Morrowind
Muk,Orc,The Elder Scrolls III: Morrowind
Mulakh,Orc,The Elder Scrolls III: Morrowind
Murgol,Orc,The Elder Scrolls III: Morrowind
Murug,Orc,The Elder Scrolls III: Morrowind
Murz,Orc,The Elder Scrolls III: Morrowind
Muzgob,Orc,The Elder Scrolls III: Morrowind
Muzgub,Orc,The Elder Scrolls III: Morrowind
Muzgur,Orc,The Elder Scrolls III: Morrowind
Ogar,Orc,The Elder Scrolls III: Morrowind
Ogdub,Orc,The Elder Scrolls III: Morrowind
Ogdum,Orc,The Elder Scrolls III: Morrowind
Olor,Orc,The Elder Scrolls III: Morrowind
Olurba,Orc,The Elder Scrolls III: Morrowind
Orbuma,Orc,The Elder Scrolls III: Morrowind
Rimph,Orc,The Elder Scrolls III: Morrowind
Rugob,Orc,The Elder Scrolls III: Morrowind
Rush,Orc,The Elder Scrolls III: Morrowind
Rushub,Orc,The Elder Scrolls III: Morrowind
Shadbuk,Orc,The Elder Scrolls III: Morrowind
Shagdub,Orc,The Elder Scrolls III: Morrowind
Shagdulg,Orc,The Elder Scrolls III: Morrowind
Shagrak,Orc,The Elder Scrolls III: Morrowind
Shagramph,Orc,The Elder Scrolls III: Morrowind
Shak,Orc,The Elder Scrolls III: Morrowind
Sham,Orc,The Elder Scrolls III: Morrowind
Shamub,Orc,The Elder Scrolls III: Morrowind
Sharbag,Orc,The Elder Scrolls III: Morrowind
Sharga,Orc,The Elder Scrolls III: Morrowind
Sharob,Orc,The Elder Scrolls III: Morrowind
Sharolg,Orc,The Elder Scrolls III: Morrowind
Shat,Orc,The Elder Scrolls III: Morrowind
Shatub,Orc,The Elder Scrolls III: Morrowind
Shazog,Orc,The Elder Scrolls III: Morrowind
Shug,Orc,The Elder Scrolls III: Morrowind
Shugarz,Orc,The Elder Scrolls III: Morrowind
Shugham,Orc,The Elder Scrolls III: Morrowind
Shula,Orc,The Elder Scrolls III: Morrowind
Shulor,Orc,The Elder Scrolls III: Morrowind
Shumba,Orc,The Elder Scrolls III: Morrowind
Shuzgub,Orc,The Elder Scrolls III: Morrowind
Skandar,Orc,The Elder Scrolls III: Morrowind
Snagarz,Orc,The Elder Scrolls III: Morrowind
Snagdu,Orc,The Elder Scrolls III: Morrowind
Ufthamph,Orc,The Elder Scrolls III: Morrowind
Uftharz,Orc,The Elder Scrolls III: Morrowind
Ugruma,Orc,The Elder Scrolls III: Morrowind
Ular,Orc,The Elder Scrolls III: Morrowind
Ulfimph,Orc,The Elder Scrolls III: Morrowind
Urgak,Orc,The Elder Scrolls III: Morrowind
Ushar,Orc,The Elder Scrolls III: Morrowind
Ushug,Orc,The Elder Scrolls III: Morrowind
Ushul,Orc,The Elder Scrolls III: Morrowind
Uzgurn,Orc,The Elder Scrolls III: Morrowind
Uzuk,Orc,The Elder Scrolls III: Morrowind
Yagarz,Orc,The Elder Scrolls III: Morrowind
Yak,Orc,The Elder Scrolls III: Morrowind
Yargul,Orc,The Elder Scrolls III: Morrowind
Yarzol,Orc,The Elder Scrolls III: Morrowind
