name,race,source
Bagol,Orc,The Elder Scrolls V: Skyrim
Largash,Orc,The Elder Scrolls V: Skyrim
Shurguz,Orc,The Elder Scrolls V: Skyrim
Bar,Orc,The Elder Scrolls V: Skyrim
Batul,Orc,The Elder Scrolls V: Skyrim
Dushnikh,Orc,The Elder Scrolls V: Skyrim
Gatuk,Orc,The Elder Scrolls V: Skyrim
Gilgar,Orc,The Elder Scrolls V: Skyrim
Gortwog,Orc,The Elder Scrolls V: Skyrim
Nolob,Orc,The Elder Scrolls V: Skyrim
Orkulg,Orc,The Elder Scrolls V: Skyrim
Ragdam,Orc,The Elder Scrolls V: Skyrim
Shargakh,Orc,The Elder Scrolls V: Skyrim
Shub,Orc,The Elder Scrolls V: Skyrim
Shurkul,Orc,The Elder Scrolls V: Skyrim
